file,recording_id,gt_distance,estimated_distance,distance_error,reprojection_error,used_leds,x_error,y_error,z_error
positions1.json,1,1.0,1.2096927222168503,0.29625926987804607,123.26525868799035,1-3-4,-0.19664213296223543,-0.11762245347998301,0.1877934635978704
positions1.json,2,1.0,1.1500255581935137,0.23424945334266684,2.5374477727985663,1-2-3-4,0.1636650146598026,0.1008594251866145,0.13384298905348224
positions1.json,3,1.0,1.3513161280966313,0.4713081145177577,140.9018447164314,2-3-4,-0.36164579497010674,-0.012752517115847267,0.3019619696218936
positions1.json,4,1.0,1.6035800137200074,0.6392214642841327,3.3929819450424046,1-2-3-4,-0.2267309440994269,-0.13832402267071842,0.5814323900003542
positions1.json,5,1.0,1.3254283168505478,0.40204047634129386,152.86268800061228,1-2-3,0.2701990933839335,0.009270726811383023,0.2975618392462709
positions1.json,6,1.0,1.2508071888392542,0.29206998676824325,88.04720910926699,1-2-4,-0.08501733831906137,0.143754915226637,0.23960687324057806
positions1.json,7,1.0,1.144454374030313,0.24093530926469622,100.13214283940968,1-2-4,-0.1663360097238042,0.12058466521529901,0.12586299549332036
positions1.json,8,1.0,1.1647524250046342,0.298025331224004,2.566119028472873,1-2-3-4,-0.2536761850613383,0.08083552853759546,0.13391455675149921
positions1.json,9,1.0,1.2288465417987289,0.28392318310832776,161.40363937680672,1-3-4,0.1355709517641873,-0.12698722022133552,0.214725724692165
positions2.json,1,2.0,2.226820593703542,0.383847444314704,2.048907723288762,1-2-3-4,-0.3249942097161457,-0.023883147564253138,0.20284777400881637
positions2.json,2,2.0,1.8870879609543896,0.1693435828933254,94.76984325610043,1-3-4,-0.10670892171561286,-0.060218200619435114,-0.11689406917203815
positions2.json,3,2.0,2.2165378789268906,0.22059546824032436,1.9311958022921074,1-2-3-4,0.03773275075655004,-0.023276338446906464,0.21609445202738797
positions2.json,4,2.0,1.9475285344962279,0.18520684827309333,111.98601475661017,1-2-3,0.17196552045337818,0.032958797734683576,-0.060358545992556856
positions2.json,5,2.0,1.8248696324682316,0.2206182372072517,1.595086163153107,1-2-3-4,0.0889217732243944,0.09218512751322672,-0.1796308077709241
positions2.json,6,2.0,1.988279431882791,0.18264775312124554,55.487685048489055,1-2-4,-0.12870349343839302,0.1280412464085852,-0.020026275618021394
positions2.json,7,2.0,1.6894318903661107,0.48939244206272303,2.331977479847936,1-2-3-4,-0.3352833654328429,0.08452643629274392,-0.34633121254052623
positions2.json,8,2.0,1.9869945494872585,0.4489040479228676,94.62037077579848,2-3-4,-0.4430923039198126,0.03423245793055524,-0.06334187613736564
positions2.json,9,2.0,2.283619552064791,0.4556426037426276,2.543310497385025,1-2-3-4,-0.37724875942000996,-0.04332099184444127,0.25182701905680904
positions3.json,1,3.0,3.00356370906639,0.09839457357722058,60.03626870082263,1-3-4,-0.011909000395364883,-0.09765171049955917,0.0019522437185344188
positions3.json,2,3.0,3.064021626906276,0.23765522530651617,1.697874964801198,1-2-3-4,0.2109422679557566,-0.0944786986849937,0.055291420672315184
positions3.json,3,3.0,2.9841513215621873,0.3209345088691186,76.88622902518588,1-2-3,0.31244395474380815,-0.0655018707796865,-0.0329733081669521
positions3.json,4,3.0,2.8691825181279786,0.30383334217821706,0.9771257660360152,1-2-3-4,0.26743702909829814,-0.015575880312135082,-0.14335106291466282
positions3.json,5,3.0,2.9421149983870243,0.10855813249217519,37.304731978258616,1-2-4,0.08717585259110455,0.025881492650655924,-0.059290700732717916
positions3.json,6,3.0,2.874660535565834,0.19875376683946663,0.9878753171214429,1-2-3-4,-0.14727600576577998,0.03306146923929998,-0.12930497751553816
positions3.json,7,3.0,3.017832676906208,0.23870404412037702,62.8988807061761,2-3-4,-0.23850220816504258,-0.005093212552261306,0.008389074187244105
positions3.json,8,3.0,3.280355003645904,0.33125124542345025,1.5605546597569073,1-2-3-4,-0.17392848436714428,-0.061314208578408746,0.27516692705835544
positions3.json,9,3.0,2.967806330439931,0.11291551036275689,59.53783904044254,1-3-4,0.04373508911679298,-0.09834231471798155,-0.03414591624685892
positions5.json,1,5.0,4.936135702305185,0.20765075571315514,0.7885341464724219,1-2-3-4,0.12203285279074289,0.15373442838149332,-0.06776831647763437
positions5.json,2,5.0,4.9303763760850625,0.542571036366058,1.1094077358074408,1-2-3-4,0.38083155377749073,0.37367524728305634,-0.09857721196456648
positions5.json,3,5.0,4.899276818680845,0.603270001802281,47.60249922229501,1-2-3,0.4405545022166807,0.38900210092813003,-0.136102134901102
positions5.json,4,5.0,5.33313077125644,0.6840471814629482,1.014933910016352,1-2-3-4,0.38193260372877197,0.4833008003814331,0.29743632768549055
positions5.json,5,5.0,4.864548498021071,0.5069595620471954,22.948760138260525,1-2-4,0.15844308019029316,0.4544465789882336,-0.1593175907952027
positions5.json,6,5.0,5.327275445055425,0.5861281027344883,0.8539849411944758,1-2-3-4,-0.013735830424825256,0.501163884650948,0.3036317514675346
positions5.json,7,5.0,4.87843671525203,0.49460649633689674,38.57936690614116,2-3-4,-0.15589402376644648,0.4465850456524114,-0.14454908014996448
positions5.json,8,5.0,4.854380155910781,0.45240401424851334,0.7390009302298552,1-2-3-4,-0.08638978798164881,0.41269996261139386,-0.1639662694007793
positions5.json,9,5.0,4.971581575848704,0.4126158583950183,35.47381318769571,1-3-4,0.13685917643456,0.3866052566047451,-0.045362848128077005
